blockNumber,timestamp, inputAmount,inputInUSD,outputAmount,outputInUSD,slippage,slippageIsAcceptable
12785945,1625688173,100000000000000000000000000,101796518705948507700000000,394846469516795861792118,99696509920700083793776850,0.02106401504845845,false
12785989,1625688217,100000000000000000000000000,101796518705948507700000000,394736082764451863030924,99678499047262532611521023,0.02124851075136802,false
12786033,1625688261,100000000000000000000000000,101796518705948507700000000,394626125872976041850680,99660566861238194416850795,0.021432266662543498,false
12786077,1625688305,100000000000000000000000000,101796518705948507700000000,394516598125823012359473,99642713237408298022201970,0.021615283231083415,false
12786121,1625688349,100000000000000000000000000,101796518705948507700000000,394407498810059960629557,99624938051209427401117188,0.02179756090410656,false
12786165,1625688393,100000000000000000000000000,101796518705948507700000000,394298827216353675481881,99607241178731220065427258,0.02197910012675619,false
12786209,1625688437,100000000000000000000000000,101796518705948507700000000,394190582638957661085138,99589622496714079845797022,0.022159901342203137,false
12786253,1625688481,100000000000000000000000000,101796518705948507700000000,394082764375699330907464,99572081882546904447327973,0.02233996499164803,false
12786297,1625688525,100000000000000000000000000,101796518705948507700000000,393975371727967282562468,99554619214264827698143890,0.0225192915143253,false
12786341,1625688569,100000000000000000000000000,101796518705948507700000000,393868404000698653094833,99537234370546976239727795,0.02269788134750561,false
12786385,1625688613,100000000000000000000000000,101796518705948507700000000,393761860502366554254235,99519927230714240583482802,0.022875734926498748,false
12786429,1625688657,100000000000000000000000000,101796518705948507700000000,393655740544967587309835,99502697674727060851817792,0.023052852684656955,false
12786473,1625688701,100000000000000000000000000,101796518705948507700000000,393550043444009436961043,99485545583183226110497844,0.023229235053377595,false
12786517,1625688745,100000000000000000000000000,101796518705948507700000000,393444768518498543903719,99468470837315688672999520,0.023404882462106258,false
12786561,1625688789,100000000000000000000000000,101796518705948507700000000,393339915090927855614350,99451473318990392081174710,0.023579795338339427,false
12786605,1625688833,100000000000000000000000000,101796518705948507700000000,393235482487264654918177,99434552910704113118238346,0.023753974107627585,false
12786649,1625688877,100000000000000000000000000,101796518705948507700000000,393131470036938465910561,99417709495582318075427448,0.023927419193578325,false
12786693,1625688921,100000000000000000000000000,101796518705948507700000000,393027877072829036804242,99400942957377032499571620,0.024100131017858573,false
12786737,1625688965,100000000000000000000000000,101796518705948507700000000,392924702931254399278450,99384253180464725156208742,0.024272110000198133,false
12786781,1625689009,100000000000000000000000000,101796518705948507700000000,392821946951959003909100,99367640049844205441674089,0.024443356558392138,false
12786825,1625689053,100000000000000000000000000,101796518705948507700000000,392719608478101931262580,99351103451134534507574229,0.02461387110830371,false
12786869,1625689097,100000000000000000000000000,101796518705948507700000000,392617686856245178238867,99334643270572950323940618,0.02478365406386751,false
12786913,1625689141,100000000000000000000000000,101796518705948507700000000,392516181436342019252921,99318259395012805430064416,0.024952705837091527,false
12786957,1625689185,100000000000000000000000000,101796518705948507700000000,392415091571725441846502,99301951711921519331002688,0.02512102683806061,false
12787001,1625689229,100000000000000000000000000,101796518705948507700000000,392314416619096656325700,99285720109378542748892570,0.02528861747493938,false
12787045,1625689273,100000000000000000000000000,101796518705948507700000000,392214155938513679022633,99269564476073336944652598,0.025455478153973754,false
12787089,1625689317,100000000000000000000000000,101796518705948507700000000,392114308893379988782869,99253484701303364588488391,0.025621609279495194,false
12787133,1625689361,100000000000000000000000000,101796518705948507700000000,392014874850433256283225,99237480674972094937094107,0.025787011253922465,false
12787177,1625689405,100000000000000000000000000,101796518705948507700000000,391915853179734145787672,99221552287587021511483436,0.025951684477764747,false
12787221,1625689449,100000000000000000000000000,101796518705948507700000000,391817243254655188952119,99205699430257693045738054,0.02611562934962408,false
12787265,1625689493,100000000000000000000000000,101796518705948507700000000,391719044451869730291876,99189921994693757477019981,0.026278846266198252,false
12787309,1625689537,100000000000000000000000000,101796518705948507700000000,391621256151340943928605,99174219873203018268713371,0.026441335622283457,false
12787353,1625689581,100000000000000000000000000,101796518705948507700000000,391523877736310921236530,99158592958689504278711709,0.02660309781077652,false
12787397,1625689625,100000000000000000000000000,101796518705948507700000000,391426908593289829010674,99143041144651551917287570,0.026764133222678455,false
12787441,1625689669,100000000000000000000000000,101796518705948507700000000,391330348112045137782784,99127564325179900027712623,0.026924442247096003,false
12787485,1625689713,100000000000000000000000000,101796518705948507700000000,391234195685590919913558,99112162394955797401445138,0.027084025271244982,false
12787529,1625689757,100000000000000000000000000,101796518705948507700000000,391138450710177217092660,99096835249249123190354717,0.027242882680452052,false
12787573,1625689801,100000000000000000000000000,101796518705948507700000000,391043112585279476880907,99081582783916519179699763,0.027401014858158712,false
12787617,1625689845,100000000000000000000000000,101796518705948507700000000,390948180713588057931820,99066404895399534952507111,0.027558422185922637,false
12787661,1625689889,100000000000000000000000000,101796518705948507700000000,390853654500997803532631,99051301480722785037933644,0.02771510504342034,false
12787705,1625689933,100000000000000000000000000,101796518705948507700000000,390759533356597683107587,99036272437492118949960064,0.02787106380845006,false
12787749,1625689977,100000000000000000000000000,101796518705948507700000000,390665816692660501329210,99021317663892802580283833,0.028026298856934417,false
12787793,1625690021,100000000000000000000000000,101796518705948507700000000,390572503924632674485961,99006437058687712687464500,0.028180810562922654,false
12787837,1625690065,100000000000000000000000000,101796518705948507700000000,390479594471124073757466,98991630521215542760986268,0.02833459929859261,false
12787881,1625690109,100000000000000000000000000,101796518705948507700000000,390387087753897935051238,98976897951389021354779885,0.028487665434254072,false
12787925,1625690153,100000000000000000000000000,101796518705948507700000000,390294983197860835057495,98962239249693141938727516,0.028640009338351202,false
12787969,1625690197,100000000000000000000000000,101796518705948507700000000,390203280231052733181424,98947654317183405565442470,0.028791631377464322,false
12788013,1625690241,100000000000000000000000000,101796518705948507700000000,390111978284637079014851,98933143055484074158791244,0.028942531916312353,false
12788057,1625690285,100000000000000000000000000,101796518705948507700000000,390021076792890985011986,98918705366786436657259381,0.029092711317755926,false
12788101,1625690329,100000000000000000000000000,101796518705948507700000000,389930575193195464036503,98904341153847086349340352,0.0292421699427996,false
12788145,1625690373,100000000000000000000000000,101796518705948507700000000,389840472926025731449881,98890050319986210213912022,0.029390908150593642,false
12788189,1625690417,100000000000000000000000000,101796518705948507700000000,389750769434941571413472,98875832769085889307091025,0.02953892629843713,false
12788233,1625690461,100000000000000000000000000,101796518705948507700000000,389661464166577767079398,98861688405588411442517400,0.029686224741779732,false
12788277,1625690505,100000000000000000000000000,101796518705948507700000000,389572556570634594347898,98847617134494594991937401,0.029832803834224597,false
12788321,1625690549,100000000000000000000000000,101796518705948507700000000,389484046099868378871318,98833618861362124153041201,0.029978663927530125,false
12788365,1625690593,100000000000000000000000000,101796518705948507700000000,389395932210082115987449,98819693492303895489716131,0.030123805371613077,false
12788409,1625690637,100000000000000000000000000,101796518705948507700000000,389308214360116153267428,98805840933986376175181688,0.030268228514549467,false
12788453,1625690681,100000000000000000000000000,101796518705948507700000000,389220892011838935365911,98792061093627973348999827,0.030411933702578775,false
12788497,1625690725,100000000000000000000000000,101796518705948507700000000,389133964630137810863698,98778353878997414386322557,0.03055492128010462,false
12788541,1625690769,100000000000000000000000000,101796518705948507700000000,389047431682909900795454,98764719198412138945015030,0.03069719158969786,false
12788585,1625690813,100000000000000000000000000,101796518705948507700000000,388961292641053028557586,98751156960736701489693832,0.030838744972098375,false
12788629,1625690857,100000000000000000000000000,101796518705948507700000000,388875546978456710893793,98737667075381185408926345,0.03097958176621729,false
12788673,1625690901,100000000000000000000000000,101796518705948507700000000,388790194171993209658185,98724249452299627812396624,0.031119702309140296,false
12788717,1625690945,100000000000000000000000000,101796518705948507700000000,388705233701508644058257,98710904001988455583391054,0.03125910693612832,false
12788761,1625690989,100000000000000000000000000,101796518705948507700000000,388620665049814163082403,98697630635484931875048278,0.0313977959806202,false
12788805,1625691033,100000000000000000000000000,101796518705948507700000000,388536487702677177818972,98684429264365613959880992,0.03153576977423578,false
12788849,1625691077,100000000000000000000000000,101796518705948507700000000,388452701148812653376241,98671299800744821577462747,0.03167302864677679,false
